seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
309	-246.284	284.229	-32.5216	0	-251.707	287.129	-32.5216	0	
310	-265.774	271.741	-4.65428	0	-267.087	272.386	-4.65428	0	
311	-280.537	257.065	23.2505	0	-280.316	254.452	23.2505	0	
312	-292.284	240.32	50.9682	0	-291.288	238.512	50.9682	0	
313	-298.765	221.639	78.2754	0	-299.915	223.448	78.2754	0	
314	-309.48	201.175	104.952	0	-306.127	203.787	104.952	0	
315	-308.302	179.09	130.784	0	-309.874	178.445	130.784	0	
316	-307.827	155.563	155.563	0	-311.127	152.663	155.563	0	
317	-308.302	130.784	179.09	0	-309.874	130.139	179.09	0	
318	-309.48	104.952	201.175	0	-306.127	107.565	201.175	0	
319	-298.765	78.2754	221.639	0	-299.915	80.0835	221.639	0	
320	-292.284	50.9682	240.32	0	-291.288	49.1601	240.32	0	
321	-280.537	23.2505	257.065	0	-280.316	20.6377	257.065	0	
322	-265.774	-4.65428	271.741	0	-267.087	-4.00896	271.741	0	
323	-246.284	-32.5216	284.229	0	-251.707	-29.6216	284.229	0	
324	-231.623	-60.1271	294.428	0	-234.301	-59.4818	294.428	0	
325	-219.018	-87.2485	302.257	0	-215.008	-89.8613	302.257	0	
326	-191.569	-113.667	307.652	0	-193.984	-115.476	307.652	0	
327	-175.981	-139.171	310.57	0	-171.399	-137.363	310.57	0	
328	-147.066	-163.554	310.988	0	-147.433	-160.942	310.988	0	
329	-125.645	-186.621	308.901	0	-122.281	-187.266	308.901	0	
330	-90.797	-208.185	304.328	0	-96.1435	-211.085	304.328	0	
331	-69.5786	-228.072	297.304	0	-69.2323	-228.718	297.304	0	
332	-46.0544	-246.124	287.887	0	-41.7636	-243.511	287.887	0	
333	-11.1562	-262.193	276.152	0	-13.9587	-260.385	276.152	0	
334	9.01148	-276.152	262.193	0	13.9587	-277.96	262.193	0	
335	45.3607	-287.887	246.124	0	41.7636	-290.5	246.124	0	
336	64.8552	-297.304	228.072	0	69.2323	-296.659	228.072	0	
337	104.921	-304.328	208.185	0	96.1435	-301.428	208.185	0	
338	119.553	-308.901	186.621	0	122.281	-308.256	186.621	0	
339	143.859	-310.988	163.554	0	147.433	-313.601	163.554	0	
340	170.593	-310.57	139.171	0	171.399	-312.378	139.171	0	
341	186.002	-307.652	113.667	0	193.984	-305.844	113.667	0	
342	215.337	-302.257	87.2485	0	215.008	-299.644	87.2485	0	
343	224.939	-294.428	60.1271	0	234.301	-295.073	60.1271	0	
344	259.96	-284.229	32.5216	0	251.707	-287.129	32.5216	0	
345	261.062	-271.741	4.65428	0	267.087	-272.386	4.65428	0	
346	280.627	-257.065	-23.2505	0	280.316	-254.452	-23.2505	0	
347	291.957	-240.32	-50.9682	0	291.288	-238.512	-50.9682	0	
348	299.643	-221.639	-78.2754	0	299.915	-223.448	-78.2754	0	
349	313.052	-201.175	-104.952	0	306.127	-203.787	-104.952	0	
350	308.979	-179.09	-130.784	0	309.874	-178.445	-130.784	0	
351	328.227	-155.563	-155.563	0	311.127	-152.663	-155.563	0	
352	308.979	-130.784	-179.09	0	309.874	-130.139	-179.09	0	
353	313.052	-104.952	-201.175	0	306.127	-107.565	-201.175	0	
354	299.643	-78.2754	-221.639	0	299.915	-80.0835	-221.639	0	
355	291.957	-50.9682	-240.32	0	291.288	-49.1601	-240.32	0	
356	280.627	-23.2505	-257.065	0	280.316	-20.6377	-257.065	0	
357	261.062	4.65428	-271.741	0	267.087	4.00896	-271.741	0	
358	259.96	32.5216	-284.229	0	251.707	29.6216	-284.229	0	
359	224.939	60.1271	-294.428	0	234.301	59.4818	-294.428	0	
360	215.337	87.2485	-302.257	0	215.008	89.8613	-302.257	0	
361	186.002	113.667	-307.652	0	193.984	115.476	-307.652	0	
362	170.593	139.171	-310.57	0	171.399	137.363	-310.57	0	
363	143.859	163.554	-310.988	0	147.433	160.942	-310.988	0	
364	119.553	186.621	-308.901	0	122.281	187.266	-308.901	0	
365	104.921	208.185	-304.328	0	96.1435	211.085	-304.328	0	
366	64.8552	228.072	-297.304	0	69.2323	228.718	-297.304	0	
367	45.3607	246.124	-287.887	0	41.7636	243.511	-287.887	0	
368	9.01148	262.193	-276.152	0	13.9587	260.385	-276.152	0	
369	-11.1562	276.152	-262.193	0	-13.9587	277.96	-262.193	0	
370	-46.0544	287.887	-246.124	0	-41.7636	290.5	-246.124	0	
371	-69.5786	297.304	-228.072	0	-69.2323	296.659	-228.072	0	
372	-90.797	304.328	-208.185	0	-96.1435	301.428	-208.185	0	
373	-125.645	308.901	-186.621	0	-122.281	308.256	-186.621	0	
374	-147.066	310.988	-163.554	0	-147.433	313.601	-163.554	0	
375	-175.981	310.57	-139.171	0	-171.399	312.378	-139.171	0	
376	-191.569	307.652	-113.667	0	-193.984	305.844	-113.667	0	
377	-219.018	302.257	-87.2485	0	-215.008	299.644	-87.2485	0	
378	-231.623	294.428	-60.1271	0	-234.301	295.073	-60.1271	0	
379	-246.284	284.229	-32.5216	0	-251.707	287.129	-32.5216	0	
380	-265.774	271.741	-4.65428	0	-267.087	272.386	-4.65428	0	
381	-280.537	257.065	23.2505	0	-280.316	254.452	23.2505	0	
382	-292.284	240.32	50.9682	0	-291.288	238.512	50.9682	0	
383	-298.765	221.639	78.2754	0	-299.915	223.448	78.2754	0	
384	-309.48	201.175	104.952	0	-306.127	203.787	104.952	0	
385	-308.302	179.09	130.784	0	-309.874	178.445	130.784	0	
386	-307.827	155.563	155.563	0	-311.127	152.663	155.563	0	
387	-308.302	130.784	179.09	0	-309.874	130.139	179.09	0	
388	-309.48	104.952	201.175	0	-306.127	107.565	201.175	0	
389	-298.765	78.2754	221.639	0	-299.915	80.0835	221.639	0	
390	-292.284	50.9682	240.32	0	-291.288	49.1601	240.32	0	
391	-280.537	23.2505	257.065	0	-280.316	20.6377	257.065	0	
392	-265.774	-4.65428	271.741	0	-267.087	-4.00896	271.741	0	
393	-246.284	-32.5216	284.229	0	-251.707	-29.6216	284.229	0	
